keys,en,zh_Hans,ru,es,pt,de,ja,fr,pl,ko,zh_Hant,tr,uk,it,cs,hu,vi,sv,nl,da,id,fi,nb,ro,el,bg
WINDOW_MODE_WINDOWED,Windowed,窗口模式,Оконный режим,Ventana,Janela,Fenstermodus,ウィンドウモード,Fenêtré,Okno,창 모드,視窗模式,Pencere,Віконний режим,Finestra,V okně,Ablak,Cửa sổ,Fönsterläge,Venster,Vindue,Jendela,Ikkuna,Vindu,Fereastră,Παράθυρο,Прозорец
WINDOW_MODE_BORDERLESS,Borderless Fullscreen,无边框全屏,Безрамочный,Sin bordes,Sem bordas,Randloses Vollbild,ボーダーレス,Sans bordure,Bez ramki,테두리 없음,無邊框全螢幕,Çerçevesiz,Безрамковий,Senza bordi,Bez okrajů,Szegély nélkül,Không viền,Kantlös helskärm,Randloos,Kantløs,Tanpa bingkai,Reunaton,Kantløs,Fără bordură,Χωρίς πλαίσιο,Без рамка
WINDOW_MODE_FULLSCREEN,Fullscreen,全屏,Полный экран,Pantalla completa,Tela cheia,Vollbild,全画面,Plein écran,Pełny ekran,전체 화면,全螢幕,Tam Ekran,Повний екран,Schermo intero,Celá obrazovka,Teljes képernyő,Toàn màn hình,Helskärm,Volledig scherm,Fuldskærm,Layar penuh,Koko näyttö,Fullskjerm,Ecran complet,Πλήρης οθόνη,Цял екран
SAVE_QUIT,Save & Quit,保存并退出,Сохранить и выйти,Guardar y salir,Salvar e sair,Speichern & Beenden,保存して終了,Sauvegarder et quitter,Zapisz i wyjdź,저장 후 종료,儲存並結束,Kaydet ve Çık,Зберегти й вийти,Salva ed esci,Uložit a skončit,Mentés és kilépés,Lưu và thoát,Spara och avsluta,Opslaan en afsluiten,Gem og afslut,Simpan & Keluar,Tallenna ja lopeta,Lagre og avslutt,Salvează și ieși,Αποθήκευση και έξοδος,Запис и изход
DELETE_SAVE,Delete local save,删除本地存档,Удалить локальный сейв,Eliminar partida local,Excluir save local,Lokalen Spielstand löschen,ローカルセーブを削除,Supprimer sauvegarde locale,Usuń lokalny zapis,로컬 저장 파일 삭제,刪除本機存檔,Yerel kaydı sil,Видалити локальний сейв,Elimina salvataggio locale,Smazat uloženou pozici,Helyi mentés törlése,Xóa bản lưu cục bộ,Radera lokal sparfil,Lokale save verwijderen,Slet lokalt gemt spil,Hapus simpanan lokal,Poista paikallinen tallennus,Slett lokal lagring,Șterge salvarea locală,Διαγραφή αποθήκευσης,Изтриване на записа
DELETE_SAVE_CONFIRM,Are you sure you want to delete your save? All progress will be lost!,确定要删除存档吗？所有进度都将丢失！,"Вы уверены, что хотите удалить сохранение? Весь прогресс будет потерян!",¿Seguro que quieres eliminar tu partida guardada? ¡Se perderá todo el progreso!,Tem certeza de que deseja excluir seu save? Todo o progresso será perdido!,Möchtest du deinen Spielstand wirklich löschen? Der gesamte Fortschritt geht verloren!,セーブデータを削除しますか？すべての進行状況が失われます！,Voulez-vous vraiment supprimer votre sauvegarde ? Toute la progression sera perdue !,Czy na pewno chcesz usunąć zapis? Cały postęp zostanie utracony!,저장 파일을 삭제하시겠습니까? 모든 진행 상황이 사라집니다!,確定要刪除存檔嗎？所有進度都將遺失！,Kaydını silmek istediğine emin misin? Tüm ilerleme kaybolacak!,"Ви впевнені, що хочете видалити збереження? Весь прогрес буде втрачено!",Vuoi davvero eliminare il salvataggio? Tutti i progressi andranno persi!,Opravdu chceš smazat uloženou pozici? Veškerý postup bude ztracen!,Biztosan törölni szeretnéd a mentést? Minden előrehaladás elvész!,Bạn có chắc muốn xóa bản lưu không? Mọi tiến trình sẽ bị mất!,Vill du verkligen radera din sparfil? Alla framsteg går förlorade!,Weet je zeker dat je je save wilt verwijderen? Alle voortgang gaat verloren!,"Er du sikker på, at du vil slette dit gemte spil? Al fremgang går tabt!",Yakin ingin menghapus simpanan? Semua kemajuan akan hilang!,Haluatko varmasti poistaa tallennuksen? Kaikki edistyminen menetetään!,Er du sikker på at du vil slette lagringen? All fremgang går tapt!,Sigur vrei să ștergi salvarea? Tot progresul va fi pierdut!,Σίγουρα θέλετε να διαγράψετε την αποθήκευση; Όλη η πρόοδος θα χαθεί!,"Сигурни ли сте, че искате да изтриете записа? Целият напредък ще бъде загубен!"
DELETE_SAVE_YES,"Yes, delete it!",是的，删除！,"Да, удалить!","¡Sí, eliminar!","Sim, excluir!","Ja, löschen!",はい、削除する！,"Oui, supprimer !","Tak, usuń!","네, 삭제할게요!",是的，刪除！,"Evet, sil!","Так, видалити!","Sì, elimina!","Ano, smazat!","Igen, töröld!","Có, xóa đi!","Ja, radera!","Ja, verwijderen!","Ja, slet!","Ya, hapus!","Kyllä, poista!","Ja, slett!","Da, șterge!","Ναι, διαγραφή!","Да, изтрий!"
DELETE_SAVE_CANCEL,Cancel,取消,Отмена,Cancelar,Cancelar,Abbrechen,キャンセル,Annuler,Anuluj,취소,取消,İptal,Скасувати,Annulla,Zrušit,Mégse,Hủy,Avbryt,Annuleren,Annuller,Batal,Peruuta,Avbryt,Anulează,Άκυρο,Отказ
MAIN_MENU_START,Start Game,开始游戏,Новая игра,Iniciar partida,Iniciar jogo,Spiel starten,ゲームを開始,Nouvelle partie,Nowa gra,게임 시작,開始遊戲,Oyunu başlat,Нова гра,Inizia partita,Nová hra,Játék indítása,Bắt đầu trò chơi,Starta spelet,Spel starten,Start spil,Mulai permainan,Aloita peli,Start spill,Joc nou,Έναρξη παιχνιδιού,Нова игра
MAIN_MENU_CONTINUE,Continue Game,继续游戏,Продолжить игру,Continuar partida,Continuar jogo,Spiel fortsetzen,ゲームを続ける,Continuer la partie,Kontynuuj grę,게임 계속하기,繼續遊戲,Oyuna devam et,Продовжити гру,Continua partita,Pokračovat ve hře,Játék folytatása,Tiếp tục trò chơi,Fortsätt spelet,Spel hervatten,Fortsæt spil,Lanjutkan permainan,Jatka peliä,Fortsett spill,Continuă jocul,Συνέχεια παιχνιδιού,Продължи играта
